Ledger_Account_Number,Level,Type,Ledger_Account_Number,Parent,Beginning_Balance,Total_Debit,Total_Credit,Ending_Balance,seq,eTax_Category,eTax_Account_Name
10D100010,1,T,10D100010,10_000000,0,1267444,852595939,851328495,2,売上高,　　営業活動による収益
10D100090,2,T,10D100090,10D100010,0,1267444,852595939,851328495,10,売上高,　　　営業活動による収益の内訳
10D100100,3,T,10D100100,10D100090,0,1267444,852595939,851328495,11,売上高,　　　　総売上高
10D100103,4,T,10D100103,10D100100,0,285568,250215331,249929763,12,売上高,　　　　　電子取引 総売上高
10D100104,4,T,10D100104,10D100100,0,981876,602380608,601398732,16,売上高,　　　　　電子取引以外 総売上高
10E100010,1,T,10E100010,10_000000,0,576397673,63801969,512595704,101,売上原価,　　営業活動による費用・売上原価
10E100080,2,T,10E100080,10E100010,0,576397673,63801969,512595704,108,売上原価,　　　営業活動による費用・売上原価の内訳
10E100090,3,T,10E100090,10E100080,0,576397673,63801969,512595704,109,売上原価,　　　　商品売上原価
10E100100,4,1,10E100100,10E100090,0,63013226,0,63013226,110,売上原価,　　　　　商品期首たな卸高
10E100110,4,T,10E100110,10E100090,0,513384447,776423,512608024,111,売上原価,　　　　　総仕入高
10E100113,5,T,10E100113,10E100110,0,179343533,314029,179029504,112,売上原価,　　　　　　電子取引 総仕入高
10E100114,5,T,10E100114,10E100110,0,334040914,462394,333578520,116,売上原価,　　　　　　電子取引以外 総仕入高
10E100140,4,1,10E100140,10E100090,0,0,63025546,63025546,122,売上原価,　　　　　商品期末たな卸高
10E200010,1,T,10E200010,10_000000,0,310475889,3367993,307107896,334,販売費及び一般管理費,　　販売費及び一般管理費
10E200020,2,1,10E200020,10E200010,0,27081267,0,27081267,335,販売費及び一般管理費,　　　販売手数料
10E200050,2,1,10E200050,10E200010,0,2178700,0,2178700,338,販売費及び一般管理費,　　　広告宣伝費
10E200090,2,1,10E200090,10E200010,0,20640000,0,20640000,342,販売費及び一般管理費,　　　役員報酬
10E200130,2,1,10E200130,10E200010,0,11082000,0,11082000,346,販売費及び一般管理費,　　　賞与
10E200140,2,1,10E200140,10E200010,0,5585786,0,5585786,347,販売費及び一般管理費,　　　福利厚生費
10E200150,2,1,10E200150,10E200010,0,4258344,0,4258344,348,販売費及び一般管理費,　　　交際費
10E200180,2,1,10E200180,10E200010,0,13260677,0,13260677,351,販売費及び一般管理費,　　　通信費
10E200200,2,1,10E200200,10E200010,0,6735986,3367993,3367993,353,販売費及び一般管理費,　　　消耗品費
10E200210,2,1,10E200210,10E200010,0,267000,0,267000,354,販売費及び一般管理費,　　　租税公課
10E200220,2,1,10E200220,10E200010,0,2239924,0,2239924,355,販売費及び一般管理費,　　　減価償却費
10E200240,2,1,10E200240,10E200010,0,3825840,0,3825840,357,販売費及び一般管理費,　　　保険料
10E200370,2,1,10E200370,10E200010,0,62235612,0,62235612,370,販売費及び一般管理費,　　　給料及び手当
10E200520,2,1,10E200520,10E200010,0,4582962,0,4582962,385,販売費及び一般管理費,　　　雑給
10E200540,2,1,10E200540,10E200010,0,11174629,0,11174629,387,販売費及び一般管理費,　　　法定福利費
10E200600,2,1,10E200600,10E200010,0,1676520,0,1676520,393,販売費及び一般管理費,　　　支払報酬
10E200690,2,1,10E200690,10E200010,0,144833,0,144833,402,販売費及び一般管理費,　　　支払手数料
10E200720,2,1,10E200720,10E200010,0,41358000,0,41358000,405,販売費及び一般管理費,　　　地代家賃
10E200730,2,1,10E200730,10E200010,0,3526200,0,3526200,406,販売費及び一般管理費,　　　借地借家料
10E200870,2,1,10E200870,10E200010,0,51396860,0,51396860,420,販売費及び一般管理費,　　　運賃
10E201000,2,1,10E201000,10E200010,0,337350,0,337350,433,販売費及び一般管理費,　　　修繕維持費
10E201040,2,1,10E201040,10E200010,0,7070997,0,7070997,437,販売費及び一般管理費,　　　水道光熱費
10E201110,2,1,10E201110,10E200010,0,1528632,0,1528632,444,販売費及び一般管理費,　　　事務用消耗品費
10E201120,2,1,10E201120,10E200010,0,7546928,0,7546928,445,販売費及び一般管理費,　　　車両費
10E201130,2,1,10E201130,10E200010,0,330419,0,330419,446,販売費及び一般管理費,　　　会議費
10E201140,2,1,10E201140,10E200010,0,1392000,0,1392000,447,販売費及び一般管理費,　　　諸会費
10E201160,2,1,10E201160,10E200010,0,299784,0,299784,449,販売費及び一般管理費,　　　図書費
10E201230,2,1,10E201230,10E200010,0,12971976,0,12971976,456,販売費及び一般管理費,　　　旅費及び交通費
10E201270,2,1,10E201270,10E200010,0,5746663,0,5746663,460,販売費及び一般管理費,　　　雑費
10E300010,1,T,10E300010,10_000000,0,1691768,0,1691768,543,営業外費用,　　営業外費用
10E300020,2,1,10E300020,10E300010,0,1691768,0,1691768,544,営業外費用,　　　支払利息
